lookup_id,sku_brand,fill_style_id,fill_style_name,fill_style_name_grouping,fill_sku_shopify,fill_barcode
503,GCLBAF478T-I446-A,6866431967315,ALWAYS FITS GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,40303712534611,019695417857
504,GCLBAF478T-I446-B,6866431967315,ALWAYS FITS GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,40303712567379,019695417864
505,GCLBAF478T-I446-C,6866431967315,ALWAYS FITS GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,40303712600147,019695417871
506,GCLBAF478T-I446-D,6866431967315,ALWAYS FITS GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,40303712632915,019695417888
507,GCLBAF478T-I446-E,6866431967315,ALWAYS FITS GOOD CLASSIC BOOTCUT JEANS,Good Classic Bootcut,40303712665683,019695417895
335,GCSTAF478001-I1071-00-4,7509326037075,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,42414994423891,197217791927
336,GCSTAF478001-I1071-6-12,7509326037075,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,42414994325587,197217791965
337,GCSTAF478001-I1071-14-18,7509326037075,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,42414994391123,197217791934
338,GCSTAF478001-I1071-20-26,7509326037075,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,42414994292819,197217791941
339,GCSTAF478001-I1071-28-32,7509326037075,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,42414994358355,197217791958
460,GCST739TT-I707-00-4,7160365154387,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,41393393270867,197217591688
461,GCST739TT-I707-6-12,7160365154387,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,41393393303635,197217591725
462,GCST739TT-I707-14-18,7160365154387,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,41393393336403,197217591695
463,GCST739TT-I707-20-26,7160365154387,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,41393393369171,197217591701
464,GCST739TT-I707-28-32,7160365154387,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,41393393401939,197217591718
3116,GCSTAFRH478T-I835-00-4,7123456478835,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,43990000000001,197217000001
3117,GCSTAFRH478T-I835-6-12,7123456478835,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,43990000000002,197217000002
3118,GCSTAFRH478T-I835-14-18,7123456478835,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,43990000000003,197217000003
3119,GCSTAFRH478T-I835-20-26,7123456478835,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,43990000000004,197217000004
3120,GCSTAFRH478T-I835-28-32,7123456478835,ALWAYS FITS GOOD CURVE STRAIGHT JEANS,Good Curve Straight,43990000000005,197217000005
586,GLAF478BAT-K165-A,6946542354515,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40537933840467,197217022403
587,GLAF478BAT-K165-B,6946542354515,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40537933873235,197217022410
588,GLAF478BAT-K165-C,6946542354515,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40537933906003,197217022427
589,GLAF478BAT-K165-D,6946542354515,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40537933938771,197217022434
590,GLAF478BAT-K165-E,6946542354515,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40537933971539,197217022441
1787,GLCMBSAF478T-I953-00-4,7454715805779,ALWAYS FITS GOOD LEGS CROPPED MINI BOOT JEANS,Good Legs Mini Boot Crop,42253068435539,197217753659
1788,GLCMBSAF478T-I953-6-12,7454715805779,ALWAYS FITS GOOD LEGS CROPPED MINI BOOT JEANS,Good Legs Mini Boot Crop,42253068468307,197217753697
1789,GLCMBSAF478T-I953-14-18,7454715805779,ALWAYS FITS GOOD LEGS CROPPED MINI BOOT JEANS,Good Legs Mini Boot Crop,42253068566611,197217753666
1790,GLCMBSAF478T-I953-20-26,7454715805779,ALWAYS FITS GOOD LEGS CROPPED MINI BOOT JEANS,Good Legs Mini Boot Crop,42253068533843,197217753673
1791,GLCMBSAF478T-I953-28-32,7454715805779,ALWAYS FITS GOOD LEGS CROPPED MINI BOOT JEANS,Good Legs Mini Boot Crop,42253068501075,197217753680
378,GLFAF478001-I1071-00-4,7509324365907,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42414973976659,197217792733
379,GLFAF478001-I1071-6-12,7509324365907,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42416273326163,197217792771
380,GLFAF478001-I1071-14-18,7509324365907,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42416273358931,197217792740
381,GLFAF478001-I1071-20-26,7509324365907,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42416273391699,197217792757
382,GLFAF478001-I1071-28-32,7509324365907,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42416273293395,197217792764
1069,GLFAFDTH478T-I316-00-4,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244283475,197217685615
1070,GLFAFDTH478T-I316-6-12,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244381779,197217685653
