empi,handle,product_title,product_url,bis_signups,wishlist_count,variant_count
6614687973440,helena-high-rise-flare-jean,Helena High-Rise Flare Jean,https://www.ramybrook.com/products/helena-high-rise-flare-jean,10396,827,60
6771361218624,liv-high-rise-wide-leg-jean,Liv High-Rise Wide Leg Jean,https://www.ramybrook.com/products/liv-high-rise-wide-leg-jean,2963,187,27
6615099277376,helena-high-rise-skinny-jean,Helena High-Rise Skinny Jean,https://www.ramybrook.com/products/helena-high-rise-skinny-jean,2504,394,50
6651203780672,tatum-wide-leg-jean,Tatum Wide Leg Jean,https://www.ramybrook.com/products/tatum-wide-leg-jean,2207,173,20
7018245029952,cindy-high-rise-flare-jean,Cindy High-Rise Flare Jean,https://www.ramybrook.com/products/cindy-high-rise-flare-jean,700,102,20
6771361054784,kyle-5-pocket-low-rise-flare-jean,Kyle 5-Pocket Low-Rise Flare Jean,https://www.ramybrook.com/products/kyle-5-pocket-low-rise-flare-jean,410,81,10
7099161608256,tyra-contrast-mid-rise-flare-jean,Tyra Contrast Mid-Rise Flare Jean,https://www.ramybrook.com/products/tyra-contrast-mid-rise-flare-jean,323,14,10
6701717553216,theodora-high-rise-wide-leg-jean,Theodora High-Rise Wide Leg Jean,https://www.ramybrook.com/products/theodora-high-rise-wide-leg-jean,306,158,20
7097674367040,cindy-high-rise-wide-leg-jean,Cindy High-Rise Wide Leg Jean,https://www.ramybrook.com/products/cindy-high-rise-wide-leg-jean,227,45,10
7170440364096,fay-high-rise-wide-leg-jean,Fay High-Rise Wide Leg Jean,https://www.ramybrook.com/products/fay-high-rise-wide-leg-jean,224,33,10
7065142526016,tina-high-rise-flare-jean,Tina High-Rise Wide Leg Jean,https://www.ramybrook.com/products/tina-high-rise-flare-jean,186,126,30
6817345437760,tyra-5-pocket-cropped-wide-leg-jean,Tyra 5-Pocket Cropped Wide Leg Jean,https://www.ramybrook.com/products/tyra-5-pocket-cropped-wide-leg-jean,162,53,30
7143472726080,helena-5-pocket-flare-jean,Helena 5-Pocket Flare Jean,https://www.ramybrook.com/products/helena-5-pocket-flare-jean,160,43,20
6614688038976,helena-high-waisted-short,Helena High-Waisted Denim Short,https://www.ramybrook.com/products/helena-high-waisted-short,139,74,20
7222972678208,amber-floral-embroidered-straight-leg-jean,Amber Floral Embroidered Straight Leg Jean,https://www.ramybrook.com/products/amber-floral-embroidered-straight-leg-jean,66,9,10
7143472595008,harlow-5-pocket-straight-leg-jean,Harlow 5-Pocket Skinny Jean,https://www.ramybrook.com/products/harlow-5-pocket-straight-leg-jean,57,18,10
7143469711424,tyra-5-pocket-low-rise-jean,Tyra 5-Pocket Low-Rise Jean,https://www.ramybrook.com/products/tyra-5-pocket-low-rise-jean,49,22,10
7178463805504,gemma-mid-rise-denim-mini-short,Gemma Mid-Rise Denim Mini Short,https://www.ramybrook.com/products/gemma-mid-rise-denim-mini-short,41,14,10
7178464624704,heidi-high-rise-wide-leg-braided-jean,Heidi High-Rise Wide Leg Braided Jean,https://www.ramybrook.com/products/heidi-high-rise-wide-leg-braided-jean,17,41,10
7189801992256,helena-high-rise-flare-jean-2,Helena High-Rise Flare Jean,https://www.ramybrook.com/products/helena-high-rise-flare-jean-2,8,15,10
7014025330752,clifford-cropped-wide-leg-jean,Clifford Cropped Wide Leg Jean,https://www.ramybrook.com/products/clifford-cropped-wide-leg-jean,4,23,10
7222970843200,nadia-straight-leg-jean,Nadia Straight Leg Jean,https://www.ramybrook.com/products/nadia-straight-leg-jean,2,5,20
6923930632256,theodora-cropped-wide-leg-jean,Theodora Cropped Wide Leg Jean,https://www.ramybrook.com/products/theodora-cropped-wide-leg-jean,2,18,10
7222972874816,bria-floral-embroidered-denim-short,Bria Floral Embroidered Denim Short,https://www.ramybrook.com/products/bria-floral-embroidered-denim-short,1,6,10
7228542320704,hilary-high-waisted-denim-mini-short-1,Hilary High Waisted Denim Mini Short,https://www.ramybrook.com/products/hilary-high-waisted-denim-mini-short-1,0,3,10
7228541075520,clifford-cropped-wide-leg-jean-1,Clifford Cropped Wide Leg Jean,https://www.ramybrook.com/products/clifford-cropped-wide-leg-jean-1,0,1,10
7223104897088,hilary-high-waisted-denim-mini-short,Hilary High Waisted Denim Mini Short,https://www.ramybrook.com/products/hilary-high-waisted-denim-mini-short,0,10,30
7222973071424,bria-studded-denim-short,Bria Studded Denim Short,https://www.ramybrook.com/products/bria-studded-denim-short,0,2,10
7222972350528,liv-cropped-wide-leg-jean,Liv Cropped Wide Leg Jean,https://www.ramybrook.com/products/liv-cropped-wide-leg-jean,0,0,10
7222972514368,carla-studded-boot-cut-jean,Carla Studded Boot Cut Jean,https://www.ramybrook.com/products/carla-studded-boot-cut-jean,0,3,10
7222970974272,carla-low-rise-bootcut-jean,Carla Low Rise Bootcut Jean,https://www.ramybrook.com/products/carla-low-rise-bootcut-jean,0,2,10
7178466492480,evelina-high-rise-wide-leg-jean,Evelina High-Rise Wide Leg Jean,https://www.ramybrook.com/products/evelina-high-rise-wide-leg-jean,0,20,10
7178465771584,milla-distressed-low-rise-tapered-jean,Milla Distressed Low-Rise Tapered Jean,https://www.ramybrook.com/products/milla-distressed-low-rise-tapered-jean,0,17,10
7178466426944,milla-distressed-stitched-low-rise-tapered-jean,Milla Stitched Low-Rise Tapered Jean,https://www.ramybrook.com/products/milla-distressed-stitched-low-rise-tapered-jean,0,6,10
7178464591936,hilary-embroidered-denim-short,Hilary Embroidered Denim Mini Short,https://www.ramybrook.com/products/hilary-embroidered-denim-short,0,11,10
7178463215680,gemma-mid-rise-cropped-jean,Gemma Mid-Rise Cropped Jean,https://www.ramybrook.com/products/gemma-mid-rise-cropped-jean,0,28,10
7170439643200,claudia-5-pocket-high-rise-straight-leg-jean,Claudia 5-Pocket High-Rise Straight Leg Jean,https://www.ramybrook.com/products/claudia-5-pocket-high-rise-straight-leg-jean,0,10,10
